,Winner,RedFighter,BlueFighter,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,HeightDif,ReachDif,AgeDif,Finish,HeightAdvantage,ReachAdvantage,AgeAdvantage
2,Red,Gaston Bolanos,Cortavious Romious,162.56,172.72,135,170.18,175.26,135,32,30,-7.62,-2.54,-2,U-DEC,1.0,1.0,1.0
4,Red,Mansur Abdul-Malik,Dusko Todorovic,185.42,187.96,185,187.96,200.66,185,27,30,-2.54,-12.7,3,KO/TKO,1.0,1.0,0.0
6,Red,Elizeu Zaleski dos Santos,Zachary Scroggin,190.5,187.96,170,180.34,185.42,170,37,28,10.16,2.54,-9,KO/TKO,0.0,0.0,1.0
9,Red,Tresean Gore,Antonio Trocoli,198.12,200.66,185,182.88,190.5,185,30,33,15.24,10.16,3,SUB,0.0,0.0,0.0
10,Red,Melissa Mullins,Klaudia Sygula,172.72,175.26,135,170.18,172.72,135,33,25,2.54,2.54,-8,KO/TKO,0.0,0.0,1.0
11,Red,Brandon Moreno,Amir Albazi,165.1,172.72,125,170.18,177.8,125,30,31,-5.08,-5.08,1,U-DEC,1.0,1.0,0.0
12,Red,Erin Blanchfield,Rose Namajunas,165.1,165.1,125,162.56,167.64,125,25,32,2.54,-2.54,7,U-DEC,0.0,1.0,0.0
16,Red,Mike Malott,Trevin Giles,182.88,187.96,170,185.42,185.42,170,32,32,-2.54,2.54,0,U-DEC,1.0,0.0,
17,Red,Aiemann Zahabi,Pedro Munhoz,167.64,165.1,135,172.72,172.72,135,36,38,-5.08,-7.62,2,U-DEC,1.0,1.0,0.0
18,Red,Charles Jourdain,Victor Henry,170.18,172.72,135,175.26,175.26,135,28,37,-5.08,-2.54,9,SUB,1.0,1.0,0.0
20,Red,Alexandr Romanov,Rodrigo Nascimento,187.96,203.2,246,187.96,190.5,262,33,31,0.0,12.7,-2,U-DEC,,0.0,1.0
21,Red,Serhiy Sidey,Garrett Armfield,167.64,177.8,135,180.34,182.88,135,28,28,-12.7,-5.08,0,S-DEC,1.0,1.0,
23,Red,Jamey-Lyn Horth,Ivana Petrovic,172.72,177.8,125,170.18,167.64,125,34,30,2.54,10.16,-4,S-DEC,0.0,0.0,1.0
24,Red,Ilia Topuria,Max Holloway,180.34,175.26,145,170.18,175.26,145,27,32,10.16,0.0,5,KO/TKO,0.0,,0.0
26,Red,Magomed Ankalaev,Aleksandar Rakic,193.04,198.12,205,190.5,190.5,205,32,32,2.54,7.62,0,U-DEC,0.0,0.0,
27,Red,Lerone Murphy,Dan Ige,170.18,180.34,145,175.26,185.42,145,33,33,-5.08,-5.08,0,U-DEC,1.0,1.0,
28,Red,Shara Magomedov,Armen Petrosyan,190.5,180.34,185,187.96,185.42,185,30,33,2.54,-5.08,3,KO/TKO,0.0,1.0,0.0
29,Red,Ibo Aslan,Rafael Cerqueira,190.5,193.04,205,190.5,195.58,205,28,34,0.0,-2.54,6,KO/TKO,,1.0,0.0
30,Red,Geoff Neal,Rafael Dos Anjos,172.72,177.8,170,180.34,190.5,170,34,40,-7.62,-12.7,6,KO/TKO,1.0,1.0,0.0
31,Red,Mateusz Rebecki,Myktybek Orolbai,177.8,187.96,155,170.18,167.64,155,31,26,7.62,20.32,-5,S-DEC,0.0,0.0,1.0
32,Red,Abus Magomedov,Brunno Ferreira,177.8,182.88,185,187.96,198.12,185,34,31,-10.16,-15.24,-3,SUB,1.0,1.0,1.0
33,Red,Kennedy Nzechukwu,Chris Barnett,175.26,190.5,265,195.58,210.82,205,32,38,-20.32,-20.32,6,KO/TKO,1.0,1.0,0.0
34,Red,Farid Basharat,Victor Hugo,170.18,180.34,135,172.72,180.34,135,27,31,-2.54,0.0,4,U-DEC,1.0,,0.0
35,Red,Ismail Naurdiev,Bruno Silva,182.88,187.96,185,177.8,187.96,185,28,35,5.08,0.0,7,U-DEC,0.0,,0.0
36,Red,Rinat Fakhretdinov,Carlos Leal,180.34,187.96,170,182.88,187.96,170,33,30,-2.54,0.0,-3,U-DEC,1.0,,1.0
37,Red,Anthony Hernandez,Michel Pereira,185.42,185.42,185,182.88,190.5,185,31,31,2.54,-5.08,0,KO/TKO,0.0,1.0,
38,Red,Rob Font,Kyler Phillips,172.72,182.88,135,172.72,180.34,135,37,29,0.0,2.54,-8,U-DEC,,0.0,1.0
39,Red,Charles Johnson,Sumudaerji,172.72,182.88,125,175.26,177.8,125,33,28,-2.54,5.08,-5,U-DEC,1.0,0.0,1.0
41,Red,Darren Elkins,Daniel Pineda,170.18,175.26,145,177.8,180.34,145,40,39,-7.62,-5.08,-1,U-DEC,1.0,1.0,1.0
44,Red,Joselyne Edwards,Tamires Vidal,167.64,172.72,135,172.72,177.8,135,29,26,-5.08,-5.08,-3,SUB,1.0,1.0,1.0
46,Red,Melissa Martinez,Alice Ardelean,160.02,157.48,115,157.48,167.64,115,27,32,2.54,-10.16,5,U-DEC,0.0,1.0,0.0
47,Red,Austen Lane,Robelis Despaigne,200.66,213.36,265,198.12,203.2,245,36,36,2.54,10.16,0,U-DEC,0.0,0.0,
48,Red,Brandon Royval,Tatsuro Taira,170.18,177.8,125,175.26,172.72,125,32,24,-5.08,5.08,-8,S-DEC,1.0,0.0,1.0
50,Red,Chidi Njokuani,Jared Gooden,182.88,195.58,170,190.5,203.2,170,35,30,-7.62,-7.62,-5,U-DEC,1.0,1.0,1.0
51,Red,Grant Dawson,Rafa Garcia,170.18,177.8,155,177.8,182.88,155,30,30,-7.62,-5.08,0,KO/TKO,1.0,1.0,
52,Red,Daniel Rodriguez,Alex Morono,180.34,182.88,170,185.42,187.96,170,37,34,-5.08,-5.08,-3,S-DEC,1.0,1.0,1.0
55,Red,Themba Gorimbo,Niko Price,182.88,193.04,170,185.42,195.58,170,33,35,-2.54,-2.54,2,U-DEC,1.0,1.0,0.0
56,Red,Junior Tafa,Sean Sharaf,190.5,195.58,252,190.5,190.5,240,28,31,0.0,5.08,3,KO/TKO,,0.0,0.0
